id	family	renderer	base_raw_h2	base_raw_direction	base_raw_refused	base_reader_h2	base_reader_direction	base_reader_refused	head_raw_h2	head_raw_direction	head_raw_refused	head_reader_h2	head_reader_direction	head_reader_refused
N-later-pre-textarea	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-pre-TEXTAREA	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-pre	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-PRE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-script	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-script-SCRIPT	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-script-style	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-STYLE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-textarea	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-script-TEXTAREA	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-pre	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-PRE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-script	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-SCRIPT	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-style	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-style-STYLE	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-style-textarea	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-style-TEXTAREA	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-pre	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-PRE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-script	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-SCRIPT	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-style	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-STYLE	type1-name	1	0	WITHHOLD	False	0	WITHHOLD	False	1	AGREE	False	1	AGREE	False
N-later-textarea-textarea	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
N-later-textarea-TEXTAREA	type1-name	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
U-later-u017fcript	unicode-fold	0	0	AGREE	False	0	AGREE	False	0	AGREE	False	0	AGREE	False
U-later-scru0131pt	unicode-fold	0	0	AGREE	False	0	AGREE	False	0	AGREE	False	0	AGREE	False
U-later-scru0130pt	unicode-fold	0	0	AGREE	False	0	AGREE	False	0	AGREE	False	0	AGREE	False
U-later-u017ftyle	unicode-fold	0	0	AGREE	False	0	AGREE	False	0	AGREE	False	0	AGREE	False
T-opening-empty	type1-character	1	1	AGREE	False	1	AGREE	False	1	AGREE	False	1	AGREE	False
T-opening-U0020	type1-character	0	1	ESCAPE	False	1	ESCAPE	False	0	AGREE	False	0	AGREE	False
T-opening-U0009	type1-character	0	1	ESCAPE	False	1	ESCAPE	False	0	AGREE	False	0	AGREE	False
T-opening-U000B	type1-character	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
T-opening-U000C	type1-character	0	1	ESCAPE	True	1	ESCAPE	True	0	AGREE	True	0	AGREE	True
T-opening-U000D	type1-character	0	1	ESCAPE	True	0	AGREE	False	0	AGREE	True	0	AGREE	False
T-opening-U001C	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U001D	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U001E	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U001F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U0085	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U00A0	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U1680	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2000	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2001	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2002	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2003	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2004	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2005	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2006	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2007	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2008	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2009	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U200A	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2028	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U2029	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U202F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
T-opening-U205F	type1-character	0	0	AGREE	True	0	AGREE	True	0	AGREE	True	0	AGREE	True
