t_s	port	src	kind	detail
248.881593030	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1651 li=127 spid=020000fffe0000010001
248.881600590	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1651 li=127 spid=020000fffe0000010001
248.931557827	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56718 li=-3 spid=3cc0c6fffefe02100001
248.932274637	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56718 li=-3 spid=3cc0c6fffefe02100001
248.951900331	3	02:00:00:00:00:01	MSRP	
249.061645403	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56719 li=-3 spid=3cc0c6fffefe02100001
249.062379421	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56719 li=-3 spid=3cc0c6fffefe02100001
249.131796744	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64087 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
249.181642716	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56720 li=-3 spid=3cc0c6fffefe02100001
249.182372710	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56720 li=-3 spid=3cc0c6fffefe02100001
249.311673684	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56721 li=-3 spid=3cc0c6fffefe02100001
249.312408694	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56721 li=-3 spid=3cc0c6fffefe02100001
249.351900202	3	02:00:00:00:00:01	MSRP	
249.431570997	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56722 li=-3 spid=3cc0c6fffefe02100001
249.432305791	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56722 li=-3 spid=3cc0c6fffefe02100001
249.551903470	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1560 li=0 spid=020000fffe0000010001
249.552711304	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1560 li=127 spid=3cc0c6fffefe02100001
249.553694699	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1560 li=127 spid=3cc0c6fffefe02100001
249.570822827	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56723 li=-3 spid=3cc0c6fffefe02100001
249.571402036	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56723 li=-3 spid=3cc0c6fffefe02100001
249.601113073	2	3c:c0:c6:fe:02:11	MVRP	
249.681636878	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56724 li=-3 spid=3cc0c6fffefe02100001
249.682384056	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56724 li=-3 spid=3cc0c6fffefe02100001
249.811725054	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56725 li=-3 spid=3cc0c6fffefe02100001
249.812459464	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56725 li=-3 spid=3cc0c6fffefe02100001
249.881611570	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1652 li=0 spid=3cc0c6fffefe02100001
249.881622554	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1652 li=127 spid=020000fffe0000010001
249.881630114	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1652 li=127 spid=020000fffe0000010001
249.931569351	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56726 li=-3 spid=3cc0c6fffefe02100001
249.932288753	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56726 li=-3 spid=3cc0c6fffefe02100001
249.940921613	2	3c:c0:c6:fe:02:11	ethertype 0x0027	
250.061674520	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56727 li=-3 spid=3cc0c6fffefe02100001
250.062408929	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56727 li=-3 spid=3cc0c6fffefe02100001
250.131800652	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64088 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
250.181668032	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56728 li=-3 spid=3cc0c6fffefe02100001
250.182404042	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56728 li=-3 spid=3cc0c6fffefe02100001
250.311643217	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56729 li=-3 spid=3cc0c6fffefe02100001
250.312378619	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56729 li=-3 spid=3cc0c6fffefe02100001
250.351902535	3	02:00:00:00:00:01	MSRP	
250.431576506	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56730 li=-3 spid=3cc0c6fffefe02100001
250.432315299	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56730 li=-3 spid=3cc0c6fffefe02100001
250.551905803	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1561 li=0 spid=020000fffe0000010001
250.552676429	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1561 li=127 spid=3cc0c6fffefe02100001
250.553662031	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1561 li=127 spid=3cc0c6fffefe02100001
250.570827952	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56731 li=-3 spid=3cc0c6fffefe02100001
250.571406777	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56731 li=-3 spid=3cc0c6fffefe02100001
250.600931382	2	3c:c0:c6:fe:02:11	MVRP	
250.681639795	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56732 li=-3 spid=3cc0c6fffefe02100001
250.682382781	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56732 li=-3 spid=3cc0c6fffefe02100001
250.811704963	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56733 li=-3 spid=3cc0c6fffefe02100001
250.812435789	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56733 li=-3 spid=3cc0c6fffefe02100001
250.881598679	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1653 li=0 spid=3cc0c6fffefe02100001
250.881609671	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1653 li=127 spid=020000fffe0000010001
250.881617231	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1653 li=127 spid=020000fffe0000010001
250.931575468	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56734 li=-3 spid=3cc0c6fffefe02100001
250.932292877	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56734 li=-3 spid=3cc0c6fffefe02100001
251.061657244	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56735 li=-3 spid=3cc0c6fffefe02100001
251.062388070	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56735 li=-3 spid=3cc0c6fffefe02100001
251.131826192	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64089 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
251.181659364	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56736 li=-3 spid=3cc0c6fffefe02100001
251.182392166	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56736 li=-3 spid=3cc0c6fffefe02100001
251.240995999	2	3c:c0:c6:fe:02:11	MVRP	
251.311647732	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56737 li=-3 spid=3cc0c6fffefe02100001
251.312385942	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56737 li=-3 spid=3cc0c6fffefe02100001
251.351904874	3	02:00:00:00:00:01	MSRP	
251.431589213	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56738 li=-3 spid=3cc0c6fffefe02100001
251.432325631	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56738 li=-3 spid=3cc0c6fffefe02100001
251.551908142	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1562 li=0 spid=020000fffe0000010001
251.552673544	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1562 li=127 spid=3cc0c6fffefe02100001
251.553657554	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1562 li=127 spid=3cc0c6fffefe02100001
251.570835282	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56739 li=-3 spid=3cc0c6fffefe02100001
251.571416660	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56739 li=-3 spid=3cc0c6fffefe02100001
251.601117905	2	3c:c0:c6:fe:02:11	MVRP	
251.681676918	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56740 li=-3 spid=3cc0c6fffefe02100001
251.682425719	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56740 li=-3 spid=3cc0c6fffefe02100001
251.811707494	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56741 li=-3 spid=3cc0c6fffefe02100001
251.812440296	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56741 li=-3 spid=3cc0c6fffefe02100001
251.881602193	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1654 li=0 spid=3cc0c6fffefe02100001
251.881613185	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1654 li=127 spid=020000fffe0000010001
251.881620745	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1654 li=127 spid=020000fffe0000010001
251.931585382	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56742 li=-3 spid=3cc0c6fffefe02100001
251.932303792	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56742 li=-3 spid=3cc0c6fffefe02100001
251.940936652	2	3c:c0:c6:fe:02:11	ethertype 0x0027	
252.061663967	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56743 li=-3 spid=3cc0c6fffefe02100001
252.062393569	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56743 li=-3 spid=3cc0c6fffefe02100001
252.131816907	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64090 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
252.177904271	3	02:00:00:00:00:01	MAAP	
252.181664448	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56744 li=-3 spid=3cc0c6fffefe02100001
252.182393482	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56744 li=-3 spid=3cc0c6fffefe02100001
252.311669464	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56745 li=-3 spid=3cc0c6fffefe02100001
252.312404858	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56745 li=-3 spid=3cc0c6fffefe02100001
252.351907199	3	02:00:00:00:00:01	MSRP	
252.431594745	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56746 li=-3 spid=3cc0c6fffefe02100001
252.432327555	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56746 li=-3 spid=3cc0c6fffefe02100001
252.551910467	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1563 li=0 spid=020000fffe0000010001
252.552681861	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1563 li=127 spid=3cc0c6fffefe02100001
252.553668463	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1563 li=127 spid=3cc0c6fffefe02100001
252.570847407	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56747 li=-3 spid=3cc0c6fffefe02100001
252.571430808	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56747 li=-3 spid=3cc0c6fffefe02100001
252.600954038	2	3c:c0:c6:fe:02:11	MVRP	
252.681649043	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56748 li=-3 spid=3cc0c6fffefe02100001
252.682396636	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56748 li=-3 spid=3cc0c6fffefe02100001
252.811713219	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56749 li=-3 spid=3cc0c6fffefe02100001
252.812447021	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56749 li=-3 spid=3cc0c6fffefe02100001
252.881624343	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1655 li=0 spid=3cc0c6fffefe02100001
252.881635327	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1655 li=127 spid=020000fffe0000010001
252.881642887	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1655 li=127 spid=020000fffe0000010001
252.895971041	2	68:05:ca:95:b2:ed	AECP	
252.896002521	3	02:00:00:00:00:01	AECP	
252.896160449	2	68:05:ca:95:b2:ed	AECP	
252.896188881	3	02:00:00:00:00:01	AECP	
252.931591116	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56750 li=-3 spid=3cc0c6fffefe02100001
252.932308494	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56750 li=-3 spid=3cc0c6fffefe02100001
253.061672893	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56751 li=-3 spid=3cc0c6fffefe02100001
253.062403110	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56751 li=-3 spid=3cc0c6fffefe02100001
253.131824625	2	3c:c0:c6:fe:02:11	gPTP Announce	seq=64091 li=0 spid=3cc0c6fffefe02100001 gm=3cc0c6fffefe0210 p1=246 sr=0
253.181695590	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56752 li=-3 spid=3cc0c6fffefe02100001
253.182428400	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56752 li=-3 spid=3cc0c6fffefe02100001
253.311658582	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56753 li=-3 spid=3cc0c6fffefe02100001
253.312397792	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56753 li=-3 spid=3cc0c6fffefe02100001
253.346188031	2	3c:c0:c6:01:02:03	ADP	eid=3cc0c60102030000 gm=3cc0c6fffefe0210
253.351909885	3	02:00:00:00:00:01	MSRP	
253.352261262	2	3c:c0:c6:fe:02:11	MSRP	
253.431616480	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56754 li=-3 spid=3cc0c6fffefe02100001
253.432350889	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56754 li=-3 spid=3cc0c6fffefe02100001
253.451490422	2	3c:c0:c6:fe:02:11	MSRP	
253.551912801	3	02:00:00:00:00:01	gPTP Pdelay_Req	seq=1564 li=0 spid=020000fffe0000010001
253.552682195	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp	seq=1564 li=127 spid=3cc0c6fffefe02100001
253.553666805	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Resp_Follow_Up	seq=1564 li=127 spid=3cc0c6fffefe02100001
253.570851318	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56755 li=-3 spid=3cc0c6fffefe02100001
253.571429535	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56755 li=-3 spid=3cc0c6fffefe02100001
253.601138749	2	3c:c0:c6:fe:02:11	MVRP	
253.681657753	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56756 li=-3 spid=3cc0c6fffefe02100001
253.682401379	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56756 li=-3 spid=3cc0c6fffefe02100001
253.811725746	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56757 li=-3 spid=3cc0c6fffefe02100001
253.812458548	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56757 li=-3 spid=3cc0c6fffefe02100001
253.881619262	2	3c:c0:c6:fe:02:11	gPTP Pdelay_Req	seq=1656 li=0 spid=3cc0c6fffefe02100001
253.881630254	3	02:00:00:00:00:01	gPTP Pdelay_Resp	seq=1656 li=127 spid=020000fffe0000010001
253.881637814	3	02:00:00:00:00:01	gPTP Pdelay_Resp_Follow_Up	seq=1656 li=127 spid=020000fffe0000010001
253.931597235	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56758 li=-3 spid=3cc0c6fffefe02100001
253.932315645	2	3c:c0:c6:fe:02:11	gPTP Follow_Up	seq=56758 li=-3 spid=3cc0c6fffefe02100001
253.940951705	2	3c:c0:c6:fe:02:11	ethertype 0x0027	
254.061708996	2	3c:c0:c6:fe:02:11	gPTP Sync	seq=56759 li=-3 spid=3cc0c6fffefe02100001
