delay=73 rebase=['+132'] toggle=['+43'] interval=['642.0'] held=['224818'] pause=['781'] tally=[('48', '0')]
delay=74 rebase=['+132'] toggle=['+42'] interval=['642.0'] held=['224817'] pause=['782'] tally=[('48', '0')]
delay=75 rebase=['+132'] toggle=['+41'] interval=['642.0'] held=['224816'] pause=['783'] tally=[('48', '0')]
delay=76 rebase=['+132'] toggle=['+40'] interval=['642.0'] held=['224815'] pause=['784'] tally=[('48', '0')]
delay=77 rebase=['+132'] toggle=['+39'] interval=['642.0'] held=['224814'] pause=['785'] tally=[('48', '0')]
delay=78 rebase=['+132'] toggle=['+38'] interval=['642.0'] held=['224813'] pause=['786'] tally=[('48', '0')]
delay=79 rebase=['+132'] toggle=['+37'] interval=['642.0'] held=['224812'] pause=['787'] tally=[('48', '0')]
delay=80 rebase=['+132'] toggle=['+36'] interval=['642.0'] held=['224811'] pause=['788'] tally=[('48', '0')]
delay=81 rebase=['+132'] toggle=['+35'] interval=['642.0'] held=['224810'] pause=['789'] tally=[('48', '0')]
delay=82 rebase=['+132'] toggle=['+34'] interval=['642.0'] held=['224809'] pause=['790'] tally=[('48', '0')]
delay=83 rebase=['+132'] toggle=['+33'] interval=['642.0'] held=['224808'] pause=['791'] tally=[('48', '0')]
delay=84 rebase=['+132'] toggle=['+32'] interval=['642.0'] held=['224807'] pause=['792'] tally=[('48', '0')]
delay=85 rebase=['+132'] toggle=['+31'] interval=['642.0'] held=['224806'] pause=['793'] tally=[('48', '0')]
delay=86 rebase=['+132'] toggle=['+30'] interval=['642.0'] held=['224805'] pause=['794'] tally=[('48', '0')]
delay=87 rebase=['+132'] toggle=['+29'] interval=['642.0'] held=['224804'] pause=['795'] tally=[('48', '0')]
delay=88 rebase=['+132'] toggle=['+28'] interval=['642.0'] held=['224803'] pause=['796'] tally=[('48', '0')]
delay=89 rebase=['+132'] toggle=['+27'] interval=['642.0'] held=['224802'] pause=['797'] tally=[('48', '0')]
delay=90 rebase=['+132'] toggle=['+26'] interval=['642.0'] held=['224801'] pause=['798'] tally=[('48', '0')]
delay=91 rebase=['+132'] toggle=['+25'] interval=['642.0'] held=['224800'] pause=['799'] tally=[('48', '0')]
delay=92 rebase=['+132'] toggle=['+24'] interval=['642.0'] held=['224799'] pause=['800'] tally=[('48', '0')]
delay=93 rebase=['+132'] toggle=['+23'] interval=['642.0'] held=['224798'] pause=['801'] tally=[('48', '0')]
delay=94 rebase=['+132'] toggle=['+22'] interval=['642.0'] held=['224797'] pause=['802'] tally=[('48', '0')]
delay=95 rebase=['+132'] toggle=['+663'] interval=['642.0'] held=['224796'] pause=['803'] tally=[('48', '0')]
delay=96 rebase=['+132'] toggle=['+662'] interval=['642.0'] held=['224795'] pause=['804'] tally=[('48', '0')]
delay=97 rebase=['+132'] toggle=['+661'] interval=['642.0'] held=['224794'] pause=['805'] tally=[('48', '0')]
delay=98 rebase=['+132'] toggle=['+660'] interval=['642.0'] held=['224793'] pause=['806'] tally=[('48', '0')]
delay=99 rebase=['+132'] toggle=['+659'] interval=['642.0'] held=['224792'] pause=['807'] tally=[('48', '0')]
delay=100 rebase=['+132'] toggle=['+658'] interval=['642.0'] held=['224791'] pause=['808'] tally=[('48', '0')]
delay=101 rebase=['+132'] toggle=['+657'] interval=['642.0'] held=['224790'] pause=['809'] tally=[('48', '0')]
delay=102 rebase=['+132'] toggle=['+656'] interval=['642.0'] held=['224789'] pause=['810'] tally=[('48', '0')]
delay=103 rebase=['+132'] toggle=['+655'] interval=['642.0'] held=['224788'] pause=['811'] tally=[('48', '0')]
delay=104 rebase=['+132'] toggle=['+654'] interval=['642.0'] held=['224787'] pause=['812'] tally=[('48', '0')]
delay=105 rebase=['+132'] toggle=['+653'] interval=['642.0'] held=['224786'] pause=['813'] tally=[('48', '0')]
delay=106 rebase=['+132'] toggle=['+652'] interval=['642.0'] held=['224785'] pause=['814'] tally=[('48', '0')]
delay=107 rebase=['+132'] toggle=['+651'] interval=['642.0'] held=['224784'] pause=['815'] tally=[('48', '0')]
delay=108 rebase=['+132'] toggle=['+650'] interval=['642.0'] held=['224783'] pause=['816'] tally=[('48', '0')]
delay=109 rebase=['+132'] toggle=['+649'] interval=['642.0'] held=['224782'] pause=['817'] tally=[('48', '0')]
delay=110 rebase=['+132'] toggle=['+648'] interval=['642.0'] held=['224781'] pause=['818'] tally=[('48', '0')]
delay=111 rebase=['+132'] toggle=['+647'] interval=['642.0'] held=['224780'] pause=['819'] tally=[('48', '0')]
delay=112 rebase=['+132'] toggle=['+646'] interval=['642.0'] held=['224779'] pause=['820'] tally=[('48', '0')]
delay=113 rebase=['+132'] toggle=['+645'] interval=['642.0'] held=['224778'] pause=['821'] tally=[('48', '0')]
delay=114 rebase=['+132'] toggle=['+644'] interval=['642.0'] held=['224777'] pause=['822'] tally=[('48', '0')]
delay=115 rebase=['+132'] toggle=['+643'] interval=['642.0'] held=['224776'] pause=['823'] tally=[('48', '0')]
delay=116 rebase=['+132'] toggle=['+642'] interval=['642.0'] held=['224775'] pause=['824'] tally=[('48', '0')]
delay=117 rebase=['+132'] toggle=['+641'] interval=['642.0'] held=['224774'] pause=['825'] tally=[('48', '0')]
delay=118 rebase=['+132'] toggle=['+640'] interval=['642.0'] held=['224773'] pause=['826'] tally=[('48', '0')]
delay=119 rebase=['+132'] toggle=['+639'] interval=['642.0'] held=['224772'] pause=['827'] tally=[('48', '0')]
delay=120 rebase=['+132'] toggle=['+638'] interval=['642.0'] held=['224771'] pause=['828'] tally=[('48', '0')]
delay=121 rebase=['+132'] toggle=['+637'] interval=['642.0'] held=['224770'] pause=['829'] tally=[('48', '0')]
delay=122 rebase=['+132'] toggle=['+636'] interval=['642.0'] held=['224769'] pause=['830'] tally=[('48', '0')]
delay=123 rebase=['+132'] toggle=['+635'] interval=['642.0'] held=['224768'] pause=['653'] tally=[('48', '0')]
delay=124 rebase=['+132'] toggle=['+634'] interval=['642.0'] held=['224767'] pause=['653'] tally=[('48', '0')]
runs=125
re-base offset after the step pulse: 132..132 (window 1..500), 125 re-bases
first mr toggle offset: 22..663 (window 1..1284), 125 toggles
longest talker pause: 653..830 (limit 2568); interval 642.0..642.0
